"","cluster","cluster_col"
"LOC101864229","C4","#FB8072"
"LOC101854925","C4","#FB8072"
"LOC101847303","C4","#FB8072"
"LOC101856006","C4","#FB8072"
"LOC101854575","C4","#FB8072"
"LOC101854811","C4","#FB8072"
"LOC101860482","C4","#FB8072"
"LOC100856793","C4","#FB8072"
"LOC101860409","C4","#FB8072"
"LOC101857457","C4","#FB8072"
"LOC101847574","C4","#FB8072"
"LOC101859603","C4","#FB8072"
"LOC101852592","C4","#FB8072"
"LOC101850273","C4","#FB8072"
"LOC101847606","C4","#FB8072"
"LOC101858065","C4","#FB8072"
"LOC101856054","C4","#FB8072"
"LOC101851787","C4","#FB8072"
"LOC101857470","C4","#FB8072"
"LOC101859549","C4","#FB8072"
"LOC101845898","C4","#FB8072"
"LOC101859316","C4","#FB8072"
"LOC101857634","C4","#FB8072"
"LOC106011258","C4","#FB8072"
"LOC101857460","C4","#FB8072"
"LOC106012666","C4","#FB8072"
"LOC101859234","C4","#FB8072"
"LOC101850509","C4","#FB8072"
"LOC101846263","C4","#FB8072"
"LOC101848900","C4","#FB8072"
"LOC101851995","C4","#FB8072"
"LOC101848658","C4","#FB8072"
"LOC101851438","C4","#FB8072"
"LOC101852980","C4","#FB8072"
"LOC101861954","C4","#FB8072"
"LOC101854123","C4","#FB8072"
"LOC101853789","C4","#FB8072"
"LOC101850089","C4","#FB8072"
"LOC101860142","C4","#FB8072"
"LOC101858345","C4","#FB8072"
"LOC101858518","C4","#FB8072"
"LOC101856318","C4","#FB8072"
"LOC101857843","C4","#FB8072"
"LOC101858985","C4","#FB8072"
"LOC106011637","C4","#FB8072"
"LOC101861346","C4","#FB8072"
"LOC101851276","C4","#FB8072"
"LOC101849798","C4","#FB8072"
"LOC101863103","C4","#FB8072"
"LOC101853543","C4","#FB8072"
"LOC118478289","C4","#FB8072"
"LOC118478715","C4","#FB8072"
"LOC101863580","C4","#FB8072"
"LOC118477154","C4","#FB8072"
"LOC118477914","C4","#FB8072"
"LOC101855565","C4","#FB8072"
"LOC101861831","C4","#FB8072"
"LOC101848697","C4","#FB8072"
"LOC106012716","C4","#FB8072"
"LOC106012596","C4","#FB8072"
"LOC118477203","C4","#FB8072"
"LOC101845287","C4","#FB8072"
"LOC106011542","C4","#FB8072"
"LOC101845628","C4","#FB8072"
"LOC106013705","C4","#FB8072"
"LOC101851368","C4","#FB8072"
"LOC101857190","C4","#FB8072"
"LOC101847008","C4","#FB8072"
"LOC101851603","C4","#FB8072"
"LOC106011572","C4","#FB8072"
"LOC101859930","C4","#FB8072"
"LOC101852070","C4","#FB8072"
"LOC101861916","C4","#FB8072"
"LOC106011070","C4","#FB8072"
"LOC101856854","C4","#FB8072"
"LOC106012172","C4","#FB8072"
"LOC101850609","C4","#FB8072"
"LOC101850908","C4","#FB8072"
"LOC101859651","C4","#FB8072"
"LOC118478555","C4","#FB8072"
"LOC101849354","C4","#FB8072"
"LOC101849041","C4","#FB8072"
"LOC101849385","C4","#FB8072"
"LOC101861335","C4","#FB8072"
"LOC101851657","C4","#FB8072"
"LOC101861522","C4","#FB8072"
"LOC101846919","C4","#FB8072"
"LOC106012061","C4","#FB8072"
"LOC101862869","C4","#FB8072"
"LOC118477544","C4","#FB8072"
"LOC101849942","C4","#FB8072"
"LOC101863074","C4","#FB8072"
"LOC118478447","C4","#FB8072"
"LOC101854590","C4","#FB8072"
"LOC101846527","C4","#FB8072"
"LOC101852114","C4","#FB8072"
"LOC101845106","C4","#FB8072"
"LOC101849097","C4","#FB8072"
"LOC101857277","C4","#FB8072"
"LOC101860949","C4","#FB8072"
"LOC101860672","C4","#FB8072"
"LOC101863423","C4","#FB8072"
"LOC101852621","C4","#FB8072"
"LOC101860572","C4","#FB8072"
"LOC101863488","C4","#FB8072"
"LOC101859681","C4","#FB8072"
"LOC101847989","C4","#FB8072"
"LOC101856090","C4","#FB8072"
"LOC106011872","C4","#FB8072"
"LOC101859444","C4","#FB8072"
"LOC101852106","C4","#FB8072"
"LOC101858383","C4","#FB8072"
"LOC101845843","C4","#FB8072"
"LOC101861070","C4","#FB8072"
"LOC118478451","C4","#FB8072"
"LOC101859916","C4","#FB8072"
"LOC101863690","C4","#FB8072"
"LOC106011843","C4","#FB8072"
"LOC106012487","C4","#FB8072"
"LOC101850724","C4","#FB8072"
"LOC101859993","C4","#FB8072"
"LOC101846224","C4","#FB8072"
"LOC101853656","C4","#FB8072"
"LOC101848909","C4","#FB8072"
"LOC101864186","C4","#FB8072"
