"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC190A","AC191A","AC192A","AC278A","AC282A","AC286A","AC304A","AC308A","AC312A","AC169A","AC170A","AC174A","AC202A","AC203A","AC204A","AC279A","AC283A","AC290A","AC305A","AC309A","AC313A"
"1473","LOC106013920",6.7791612468468,-1.89103093003177,0.641093281738281,-2.94969700026237,0.00318085712561061,0.0417981469947855,15.3271960303772,12.4898502530607,13.5594873759396,0,0.963787673067501,0,9.46094461130221,1.922763613721,2.02441477948593,1.01729714799667,3.91508679950549,7.438917284828,7.8075600971266,2.03965417196913,6.4044757487315,0,0.910888155960826,0.969381023540893,1.94993361581365,11.0896642445181,6.14789782690433,4.49371344413073,50.0035258300096,2.76343019633354
"1475","LOC106011442",2.33936971811186,-2.03240492341562,0.689181218664633,-2.94901379836443,0.0031878974241951,0.0418438774393698,10.2181306869181,3.12246256326519,2.08607498091378,0,2.8913630192025,0,3.1536482037674,0,1.34960985299062,2.03459429599334,0,0.9298646606035,1.95189002428165,10.1982708598456,1.60111893718288,0,0,0.969381023540893,0.974966807906823,2.01630258991238,0,2.69622806647844,8.10867986432588,1.84228679755569
"1476","LOC101862227",3.26721930075364,-1.57479433749841,0.534085156672088,-2.94858285766831,0.00319234550801814,0.0418638480035225,5.10906534345907,3.12246256326519,6.25822494274134,0,0.963787673067501,0,0,6.72967264802349,0,1.01729714799667,8.80894529888735,11.158375927242,3.9037800485633,2.03965417196913,5.60391628014006,0.835050928822289,0.910888155960826,0.969381023540893,1.94993361581365,4.03260517982477,3.6887386961426,4.49371344413073,4.05433993216294,2.76343019633354
"1482","LOC101848066",2.59728445963077,-3.79573886233528,1.28861931764419,-2.94558587657566,0.00322343653165909,0.0420026077290607,1.02181306869181,0,3.12911247137067,0.87909213796364,0.963787673067501,0.979613333571431,0,0,0,0,24.4692924969093,20.457022533277,0,0,0,0,0,0,0.974966807906823,0,0,0,9.4601265083802,0
"1486","LOC106012706",1.90674596365949,-2.31890188890139,0.787096789958001,-2.94614578344949,0.00321760711768315,0.0420026077290607,10.2181306869181,7.2857459809521,6.25822494274134,0.87909213796364,0,1.95922666714286,0,0,0.674804926495311,0,0.978771699876372,2.7895939818105,2.92783503642248,2.03965417196913,4.80335681154863,0,1.82177631192165,0,0.974966807906823,0,1.22957956538087,0,0,0.921143398777847
"1489","LOC101863343",20.0426580348199,-1.01090845610259,0.343380408621558,-2.9439899036777,0.00324010569322121,0.0421295524725088,55.1779057093579,45.7961175945561,33.3771996946205,14.9445663453819,19.27575346135,11.7553600028572,12.6145928150696,8.65243626174449,5.39843941196249,14.2421600719534,5.87263019925823,15.8076992302595,37.0859104613514,50.9913542992282,21.6151056519688,16.7010185764458,18.2177631192165,21.3263825178996,19.4993361581365,6.04890776973715,4.91831826152346,17.0761110876968,10.8115731524345,13.8171509816677
"1490","LOC101854234",8.49527966216498,-1.75129156673457,0.595090936161034,-2.94289739654287,0.00325156164298984,0.0422301179340282,5.10906534345907,2.08164170884346,12.5164498854827,0.87909213796364,0.963787673067501,2.93884000071429,1.5768241018837,17.304872523489,0,19.3286458119367,10.7664886986401,29.755669139312,10.7353951335491,28.5551584075678,14.4100704346459,2.50515278646687,0,3.87752409416357,15.5994689265092,1.00815129495619,0,8.98742688826146,9.4601265083802,5.52686039266708
"1493","LOC101850913",31.3542175291821,-1.43412160940997,0.487611082209922,-2.94111775087294,0.00327030191773039,0.0423704448253016,39.8507096789807,26.0205213605432,25.0328997709654,3.51636855185456,3.85515069227,5.87768000142859,37.8437784452089,48.069090343025,4.04882955897187,32.5535087358935,38.1720962951785,154.357533660181,38.0618554734922,27.5353313215832,22.4156651205603,5.01030557293374,3.6435526238433,3.87752409416357,38.9986723162729,36.2934466184229,13.5253752191895,91.6717542602669,31.0832728132492,21.1862981718905
"1494","LOC101855515",32.2114549131534,1.34524487466913,0.457393515849351,2.94111050562466,0.00327037841336023,0.0423704448253016,12.2617568243018,19.7755962340129,34.4202371850774,18.4609348972364,20.2395411344175,28.4087866735715,18.9218892226044,24.0345451715125,31.0410266187843,9.15567433197004,19.5754339975275,19.5271578726735,33.182130412788,20.3965417196913,24.0167840577431,135.278250469211,67.4057235411011,169.641679119656,25.3491370055774,12.0978155394743,3.6887386961426,13.4811403323922,8.10867986432588,4.60571699388924
"1495","LOC101847141",41.4446645746131,1.35895235921691,0.462159043961568,2.94044307251491,0.00327743219519104,0.0424334298127878,22.4798875112199,38.510371613604,38.592387146905,58.0200811056003,201.431623671108,192.983826713572,11.0377687131859,20.1890179440705,14.8457083828968,18.3113486639401,9.78771699876373,17.6674285514665,30.2542953763656,33.6542938374906,30.4212598064746,62.6288196616717,59.2077301374537,58.1628614124536,14.6245021186023,10.0815129495619,12.2957956538087,12.582397643566,12.1630197964888,14.7382943804456
