contrast	gene
Hyp_T2h.Control	LOC101847733
Hyp_T2h.Control	LOC100533404
Hyp_T2h.Control	LOC101848122
Hyp_T2h.Control	LOC101852936
Hyp_T2h.Control	LOC101854727
Hyp_T2h.Control	LOC101859417
Hyp_T2h.Control	LOC101861738
Hyp_T2h.Control	LOC101845626
Hyp_T2h.Control	LOC101846512
Hyp_T2h.Control	LOC118477888
Hyp_T2h.Control	LOC101856905
Hyp_T2h.Control	LOC101859868
Hyp_T2h.Control	LOC101864307
Hyp_T2h.Control	LOC101846822
Hyp_T2h.Control	LOC101850729
Hyp_T2h.Control	LOC101853328
Hyp_T2h.Control	LOC101860747
Hyp_T2h.Control	LOC101863445
Hyp_T2h.Control	LOC101852186
Hyp_T2h.Control	LOC101860259
Hyp_T2h.Control	LOC101851423
Hyp_T2h.Control	LOC101859649
Hyp_T2h.Control	LOC101861516
Hyp_T2h.Control	LOC101862737
Hyp_T2h.Control	LOC101845703
Hyp_T2h.Control	LOC101847351
Hyp_T2h.Control	LOC101853947
Hyp_T2h.Control	LOC101858788
Hyp_T2h.Control	LOC101859252
Hyp_T2h.Control	LOC101859650
Hyp_T2h.Control	LOC101862355
Hyp_T2h.Control	LOC101852775
Hyp_T2h.Control	LOC101850815
Hyp_T2h.Control	LOC101851876
Hyp_T2h.Control	LOC101859794
Hyp_T2h.Control	LOC101861742
Hyp_T2h.Control	LOC101862738
Hyp_T2h.Control	LOC101846007
Hyp_T2h.Control	LOC101850094
Hyp_T2h.Control	LOC101846746
Hyp_T2h.Control	LOC101852636
Hyp_T2h.Control	LOC101857656
Hyp_T2h.Control	LOC101862120
Hyp_T2h.Control	LOC101845939
Hyp_T2h.Control	LOC101853244
Hyp_T2h.Control	LOC101853470
Hyp_T2h.Control	LOC101857957
Hyp_T2h.Control	LOC101858419
Hyp_T2h.Control	LOC101858643
Hyp_T2h.Control	LOC106012260
Hyp_T2h.Control	LOC101852778
Hyp_T2h.Control	LOC101854731
Hyp_T2h.Control	LOC101861898
Hyp_T2h.Control	LOC101857807
Hyp_T2h.Control	LOC101859254
Hyp_T2h.Control	LOC100885790
Hyp_T2h.Control	LOC101864696
Hyp_T2h.Control	LOC101847270
Hyp_T2h.Control	LOC101850732
Hyp_T2h.Control	LOC101853175
Hyp_T2h.Control	LOC101857191
Hyp_T2h.Control	LOC118477948
Hyp_T2h.Control	LOC101860422
Hyp_T2h.Control	LOC101861055
Hyp_T2h.Control	LOC101862359
Hyp_T2h.Control	LOC101856587
Hyp_T2h.Control	LOC118477172
Hyp_T2h.Control	LOC101846366
Hyp_T2h.Control	LOC101852703
Hyp_T2h.Control	LOC101852940
Hyp_T2h.Control	LOC101857730
Hyp_T2h.Control	LOC101856744
Hyp_T2h.Control	LOC118477992
Hyp_T2h.Control	LOC101861135
Hyp_T2h.Control	LOC101861595
Hyp_T2h.Control	LOC101862195
Hyp_T2h.Control	LOC101852780
Hyp_T2h.Control	LOC118478024
Hyp_T2h.Control	LOC101860509
Hyp_T2h.Control	LOC101846891
Hyp_T2h.Control	LOC101845343
Hyp_T2h.Control	LOC101850098
Hyp_T2h.Control	LOC101859113
Hyp_T2h.Control	LOC101849704
Hyp_T2h.Control	LOC101856443
Hyp_T2h.Control	LOC106012346
Hyp_T2h.Control	LOC101845941
Hyp_T2h.Control	LOC101851132
Hyp_T2h.Control	LOC101854183
Hyp_T2h.Control	LOC101853247
Hyp_T2h.Control	LOC101860586
Hyp_T2h.Control	LOC101849305
Hyp_T2h.Control	LOC101855120
Hyp_T2h.Control	LOC101861747
Hyp_T2h.Control	LOC106012375
Hyp_T2h.Control	LOC101846012
Hyp_T2h.Control	LOC101860908
Hyp_T2h.Control	LOC101861748
Hyp_T2h.Control	LOC101845017
Hyp_T2h.Control	LOC101845708
Hyp_T2h.Control	LOC100533264
Hyp_T2h.Control	LOC101850185
Hyp_T2h.Control	LOC101853713
Hyp_T2h.Control	LOC101862740
Hyp_T2h.Control	LOC106012394
Hyp_T2h.Control	LOC101845787
