contrast	gene
Hyp_T2h.Control	LOC101862992
Hyp_T2h.Control	LOC101858324
Hyp_T2h.Control	LOC106013374
Hyp_T2h.Control	LOC101863953
Hyp_T2h.Control	LOC101864196
Hyp_T2h.Control	LOC101864435
Hyp_T2h.Control	LOC101864668
Hyp_T2h.Control	LOC101861789
Hyp_T2h.Control	LOC101845146
Hyp_T2h.Control	LOC101845379
Hyp_T2h.Control	LOC101848331
Hyp_T2h.Control	LOC101849268
Hyp_T2h.Control	LOC101863158
Hyp_T2h.Control	LOC101863641
Hyp_T2h.Control	LOC101849746
Hyp_T2h.Control	LOC101850931
Hyp_T2h.Control	LOC101851171
Hyp_T2h.Control	LOC101863870
Hyp_T2h.Control	LOC101864118
Hyp_T2h.Control	LOC101852592
Hyp_T2h.Control	LOC101853669
Hyp_T2h.Control	LOC101854545
Hyp_T2h.Control	LOC101856398
Hyp_T2h.Control	LOC101845523
Hyp_T2h.Control	LOC101856777
Hyp_T2h.Control	LOC101857000
Hyp_T2h.Control	LOC101857621
Hyp_T2h.Control	LOC101858990
Hyp_T2h.Control	LOC101857224
Hyp_T2h.Control	LOC101857924
Hyp_T2h.Control	LOC101858158
Hyp_T2h.Control	LOC101858600
Hyp_T2h.Control	LOC101854140
Hyp_T2h.Control	LOC101854998
Hyp_T2h.Control	LOC101860716
Hyp_T2h.Control	LOC101855846
Hyp_T2h.Control	LOC101860947
Hyp_T2h.Control	LOC118478866
Hyp_T2h.Control	LOC101856153
Hyp_T2h.Control	LOC101861636
Hyp_T2h.Control	LOC101857001
Hyp_T2h.Control	LOC101862320
Hyp_T2h.Control	LOC101863236
Hyp_T2h.Control	LOC101863718
Hyp_T2h.Control	LOC101864670
Hyp_T2h.Control	LOC101862554
Hyp_T2h.Control	LOC101847554
Hyp_T2h.Control	LOC101848409
Hyp_T2h.Control	LOC101863237
Hyp_T2h.Control	LOC101850388
Hyp_T2h.Control	LOC101850623
Hyp_T2h.Control	LOC101863719
Hyp_T2h.Control	LOC101851850
Hyp_T2h.Control	LOC101864671
Hyp_T2h.Control	LOC101852667
Hyp_T2h.Control	LOC101852899
Hyp_T2h.Control	LOC101853285
Hyp_T2h.Control	LOC101853906
Hyp_T2h.Control	LOC101854387
Hyp_T2h.Control	LOC118478929
