"","RSB441-01","RSB441-03","RSB441-04","RSB441-07","RSB441-08","RSB441-09","RSB441-10","RSB441-11","RSB441-12","RSB443-01","RSB443-02","RSB443-05"
"abu-let-7a_MIMAT0042056_Astatotilapia_burtoni_let-7a ",583.804015119545,648.690769637395,778.813093502237,542.149357502196,563.082580778858,592.993252997474,567.474628494103,699.729515625926,685.879279251027,587.320003240573,729.920090014071,615.856544375289
"abu-let-7c_MIMAT0042114_Astatotilapia_burtoni_let-7c ",571.725311358451,570.125930106843,732.742459802105,514.871402407746,555.687499980636,567.433198988962,576.843313398487,646.350481266403,636.887902161668,567.685758946194,667.401906553466,607.619779892903
"abu-miR-1_MIMAT0042115_Astatotilapia_burtoni_miR-1 ",21.4732511308339,22.2954274343458,24.1322367000693,23.8682107076438,32.7496435349805,26.5824561688523,22.7525204820749,20.8874482276396,24.9956005557954,9.39029074948591,8.11924460527331,13.9391398932679
"abu-miR-100_MIMAT0042041_Astatotilapia_burtoni_miR-100 ",610.645579033088,407.687815942324,541.147126001555,528.510379954971,583.154942945459,602.194872440538,588.888765418409,365.530343983693,494.912891004749,513.905002835502,571.594820211241,610.154168964406
"abu-miR-124_MIMAT0042170_Astatotilapia_burtoni_miR-124 ",123.471194002295,162.43811416452,129.436542300372,159.121404717626,133.111454367985,138.024291645964,131.161588661373,146.212137593477,121.978530712282,189.513140580534,120.164820158045,163.468095111959
"abu-miR-153a_MIMAT0042081_Astatotilapia_burtoni_miR-153a ",14.7628601524483,22.2954274343458,17.5507176000504,30.6876994812564,25.3545627367591,35.7840756119165,28.1060547131514,24.3686895989129,27.9950726224909,9.39029074948591,11.3669424473826,17.7407235005227
"abu-miR-184a_MIMAT0042054_Astatotilapia_burtoni_miR-184a ",2002.38066795026,1604.20908825222,1655.61769360476,1968.55909264948,1878.35052274823,1844.41349725421,2215.02478810788,1752.22482354088,1895.66634615153,645.369073328305,1135.88232027774,1120.83356687231
"abu-miR-184b_MIMAT0042068_Astatotilapia_burtoni_miR-184b ",869.666670798771,586.05123541709,636.213513001828,816.065489908965,769.088403015025,765.779218095013,776.262463506085,639.387998523856,694.877695451113,507.929363267647,414.893399329466,476.46514544261
"abu-miR-29b_MIMAT0042168_Astatotilapia_burtoni_miR-29b ",13.4207819567712,4.24674808273254,8.04407890002311,10.2292331604188,7.39508079822139,10.2240216034047,8.03030134661467,4.64165516169769,8.99841620008636,17.926918703564,7.30732014474598,9.50395901813717
"abu-miR-33-5p_MIMAT0042163_Astatotilapia_burtoni_miR-33-5p ",42.9465022616677,37.1590457239097,32.1763156000924,30.6876994812564,27.4674429648223,39.8736842532784,48.181808079688,37.1332412935815,38.9931368670409,25.6098838622343,31.6650539605659,40.5502251440519
"aca-let-7a-5p_MIMAT0021692_Anolis_carolinensis_let-7a-5p ",587.830249706577,656.122578782177,787.588452302262,527.373798492702,586.324263287553,588.903644356112,600.934217438331,749.627308614177,652.885086517377,583.905352058942,756.713597211472,639.93324055457
