"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC178Pp","AC185Pp","AC186Pp","AC175Pp","AC176Pp","AC180Pp"
"21","LOC101857532",1201.02640397358,-3.42754903007231,0.273203202172858,-12.5457864432485,4.19231422695885e-36,2.75914166337135e-33,169.070663476118,220.118566576718,223.019996325925,2362.36391355558,1577.17782338975,2654.40746051736
"22","LOC101850439",273.236214188922,-4.14716381991512,0.334801074287446,-12.3869489628774,3.07522095582788e-35,1.93193767411351e-32,28.6907792565534,39.1321896136388,19.1159996850793,515.346114964463,390.865808405286,646.26639320851
"23","LOC106011452",1547.40240062415,-5.11745388010432,0.414335506667397,-12.3509904359037,4.81153915788714e-35,2.89131663918079e-32,150.626591096905,51.8501512380715,57.3479990552378,1393.74418486888,3545.22145518479,4085.62402230101
"24","LOC101850319",275.163324439611,-8.06624788910441,0.657240276961659,-12.2729056204432,1.26626205050921e-34,7.2920865833699e-32,4.0986827509362,0.978304740340971,1.0619999825044,406.358351155452,650.46340045391,588.019207554525
"25","LOC101848115",514.510184639119,-3.19413221172995,0.261115580734806,-12.2326373736157,2.08071376747227e-34,1.15030179920937e-31,112.713775650745,108.591826177848,82.8359986353434,855.301325256146,1067.77877484151,859.839407273126
"26","LOC101860873",304.66841836109,-3.46818354364273,0.285164589579843,-12.162041397751,4.95058914185198e-34,2.6316189434437e-31,47.1348516357663,55.7633701994353,47.7899992126981,480.700997992062,514.297116322745,682.324174803835
"27","LOC106011005",238.204472862557,-4.91098850503171,0.404553295905355,-12.1392868498113,6.53934892507871e-34,3.34742005531529e-31,13.3207189405426,22.5010090278423,9.55799984253963,361.608408399434,323.272473117154,698.966227847831
"28","LOC101848340",262.843474233266,-4.02387794876175,0.333193776114381,-12.0766900141028,1.40252744895218e-33,6.92297566856005e-31,34.8388033829577,39.1321896136388,16.9919997200704,398.41884518261,582.870065165778,504.808942334545
"29","LOC101859745",6898.63177304609,2.66974125706011,0.223667207855151,11.9362211504382,7.6626027528255e-33,3.65189078092418e-30,12773.5447932927,12540.8884664309,10452.2038278083,1714.93329013384,1896.5318422873,2013.68841832351
"30","LOC101845435",132.6867423109,-5.02852724951945,0.424438057000284,-11.8474938017071,2.21723039501768e-32,1.02147804298465e-29,12.2960482528086,4.89152370170485,6.37199989502642,226.636806861122,238.046093840813,307.877981313926
"31","LOC101857597",654.728485308857,-3.14655358322667,0.267650746896078,-11.7561920514587,6.5627959861592e-32,2.92594849434537e-29,106.565751524341,147.724015791487,144.431997620599,995.325339686266,1433.17463081938,1101.14917641107
"32","LOC101852684",171.754481688702,-6.62605151219838,0.580675540461752,-11.4109361433226,3.68739268055968e-30,1.59260794493798e-27,4.0986827509362,2.93491422102291,3.18599994751321,204.983608753372,277.230636036832,538.093048422537
"33","LOC101852128",180.473090030414,-3.61678541905365,0.320753447848996,-11.2759050395504,1.72594538429348e-29,7.22857307767278e-27,26.6414378810853,31.3057516909111,23.3639996150969,267.05610999559,384.988127075883,349.483113923916
"34","LOC101852365",105.878120721512,-4.90165736825376,0.449462299979694,-10.9056029136931,1.0837244616439e-27,4.40533993658244e-25,6.1480241264043,8.80474266306874,5.30999991252202,155.903026375804,206.698460083998,252.404471167272
"35","LOC101849413",168.231174846446,-4.78356994352346,0.448817212486158,-10.6581695408373,1.59709782689279e-26,6.30671116156723e-24,6.1480241264043,24.4576185085243,4.24799993001761,345.72939645375,232.168412511411,396.635597548571
"36","LOC101853719",113.912732355723,-4.6747289754085,0.439251636611754,-10.6424850490435,1.89019666940755e-26,7.25678004663381e-24,5.12335343867024,7.82643792272777,12.7439997900528,241.794045536548,146.94203323507,269.046524211268
"37","LOC101856344",107.025160138333,-5.34436723829925,0.508951609421484,-10.500737475561,8.57078869807943e-26,3.20153704313935e-23,7.17269481413834,3.91321896136388,4.24799993001761,238.906952455514,124.410921472359,263.499173196603
"38","LOC101855371",454.465326121521,-3.521010114268,0.335979826316031,-10.4798259850163,1.06940329442144e-25,3.88953235057862e-23,44.0608395725641,109.570130918189,64.7819989327686,692.180566177758,1092.26911371402,723.929307413825
