"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC169A","AC170A","AC174A"
"58","LOC101845017",285.033007444647,-1.30350154547095,0.258772434376669,-5.03725038801302,4.72266825630888e-07,8.21988552542037e-05,212.418509594229,117.961875328561,162.72399479059,444.427912894512,356.541189267167,416.124562792827
"59","LOC101845337",51.5364373759433,-1.91892613976687,0.381804997057817,-5.02593249054906,5.00992120834147e-07,8.57206010139104e-05,32.8482231331281,12.2413266850393,19.5268793748708,81.7579651079526,82.7882018422215,80.0560281124476
"60","LOC101863193",119.809396489419,-2.25723473872662,0.452945294900307,-4.98345995452592,6.24572445877218e-07,0.000105084314018842,41.6077493019623,46.739610979241,35.7992788539298,281.960161718452,262.71456051265,50.0350175702797
"61","LOC101845026",205.734008744215,-1.67788070593302,0.337773389386107,-4.96747452184589,6.78304667324457e-07,0.000112253862567875,155.481589496806,60.0937855447384,78.1075174994833,388.874423782698,333.360492751345,218.486243390222
"62","LOC101861976",174.794083960758,1.22025551252019,0.246653243130435,4.9472510356367,7.5268880172078e-07,0.000122554733118892,224.462858076376,241.487990059412,267.952178088505,88.0470393470259,115.90348257911,110.91095561412
"63","LOC101847487",1550.20071054435,-1.19137991669557,0.240998943189314,-4.94350680932112,7.67296688424623e-07,0.00012295015983566,1070.85207413998,644.338922785251,1117.37143089539,1972.67295298932,2129.31255138194,2366.65633107423
"64","LOC101848772",1121.26564936327,1.07202283974461,0.217704066777725,4.92422055137417,8.46972684383347e-07,0.000131541373059229,1219.76401901016,1707.10864862275,1632.66408106559,637.292856226092,728.53617621155,802.228115043485
"65","LOC101855155",662.670398094294,1.05961292007502,0.21517339189162,4.92446073726778,8.45933109595392e-07,0.000131541373059229,803.686525990535,894.729695888327,989.361888326789,389.922602822543,392.967998077745,505.353677459825
"66","LOC101854264",99.3382334983069,1.68987484614874,0.34474037986143,4.90187673062258,9.49253977653163e-07,0.000145192710672859,90.8800840016545,218.118184569791,146.451595311531,41.9271615938219,41.9460222667256,56.706353246317
"67","LOC118478603",95.1768799371583,-5.40878829254473,1.10488068553834,-4.89535961967635,9.81261183496458e-07,0.000147848233543235,10.9494077110427,0,2.16965326387454,268.33383420046,157.849504845836,131.758879601737
"68","LOC101845427",36.6044230185275,-2.62464429355601,0.537856837441172,-4.87981951859649,1.06182965930099e-06,0.00015419010536841,22.9937561931897,4.45139152183247,3.2544798958118,64.9871004704239,43.0498649579552,80.8899450719523
"69","LOC101854242",138.97221956149,-1.64579166710316,0.337358854726964,-4.87845996642108,1.06917358848824e-06,0.00015419010536841,96.3547878571759,55.6423940229059,49.9020250691143,300.827384435672,146.81107793354,184.29564805053
"70","LOC101858957",101.213056647948,-1.56327834857876,0.320297208141927,-4.88071175408452,1.05703645837347e-06,0.00015419010536841,73.3610316639862,44.5139152183247,35.7992788539298,164.564109255751,121.422696035258,167.617308860437
"71","LOC101860462",1358.3951854553,0.989903041784783,0.203453081828731,4.86551018488918,1.14161931593316e-06,0.000162318971751341,1609.56293352328,1999.78764118324,1811.66047533524,792.423354123233,987.93920865051,948.997499916306
"72","LOC101848269",4559.46814990662,0.94936346821747,0.195532432590655,4.85527365275996,1.20220605729912e-06,0.000168559307617147,5333.4564960489,5704.45823522832,6985.19868304407,3175.982490732,3117.25176003245,3040.461234354
"73","LOC101853766",24.7734119748411,2.63092020111121,0.542850806842182,4.84648851572227,1.25665858837154e-06,0.00017143200607582,41.6077493019623,23.3698054896205,62.9199446523616,5.24089519922773,8.83074152983696,6.6713356760373
"74","LOC101856671",1709.71522288065,1.2225566984241,0.25221790010482,4.84722415782547,1.25200936594057e-06,0.00017143200607582,1906.29188249254,2522.82614499855,2751.12033859291,824.916904358445,1387.53026287563,865.60580396584
"75","MRP",25148.260382204,0.956206200819368,0.1977041991996,4.8365497783585,1.32112199498995e-06,0.000177823020525647,31763.1368289638,32726.6304685124,35080.0387969554,14613.7121735266,19818.3916783366,16887.6523469289
"76","LOC101849429",2725.40719356787,0.920235295482225,0.191297090039289,4.81050336569795,1.50550668272058e-06,0.000192438217439457,3126.05590150269,3813.72968632997,3758.92427966263,1858.42143764615,1961.52846231504,1833.78339395075
"77","LOC101852478",4433.46265878143,0.983179280786365,0.204083275203581,4.81753970189671,1.45339178284133e-06,0.000192438217439457,5105.70881565922,6983.12044987469,5576.00888815756,2729.4582197578,3176.85926535885,3029.62031388044
