gene,Fish_kME
LOC101856065,0.522391673416626
LOC101848328,0.666050768801227
LOC101856771,0
LOC101848560,0
LOC101849258,0.29913816078685
LOC101849508,0
LOC101850216,0
LOC101857454,0.241619638637746
LOC101850450,0.248219122466654
LOC101853747,0.680201644174639
LOC101853986,0
LOC101857844,0
LOC101858375,0.451487548976073
LOC101858905,0.583273040477155
LOC101861331,0
LOC101861552,0.82994157300117
LOC101862003,0
LOC101862464,0
LOC101862986,0.450085024587001
LOC101863223,0
LOC101863473,0
LOC101863707,0
LOC101863943,0.810128046090134
LOC101864349,0
LOC101864574,0
LOC101845053,0
LOC101845286,0
LOC101845589,0
LOC101854683,0
LOC101846044,0
LOC101846547,0
LOC101854915,0
LOC101855611,0
LOC101846932,0
LOC101847781,0
LOC101848253,0.282663053945021
LOC101856304,0
LOC101856547,0
LOC101848933,0
LOC101849576,0.93158559769084
LOC101849336,0
LOC101849976,0
LOC101850217,0
LOC101850767,0.0696638776707221
LOC101856772,0
LOC101856995,0
LOC101851778,0
LOC101857218,0
LOC101851994,0
LOC106011730,0
LOC101859059,0
LOC101852892,0.665941365366847
LOC101853274,0.19646449884233
LOC101860216,0
LOC101860462,0
LOC101859213,0.280413458286565
LOC101860861,0
LOC101862082,0.70554054763639
LOC101862622,0.631964023749598
LOC101862845,0
LOC101863312,0
LOC101863788,0
LOC101864430,0
LOC101859899,0.765476027157361
LOC101845141,0.0768802448378801
LOC101860139,0.362719578547245
LOC101860377,0
LOC101845814,0
LOC118477738,0
LOC101846472,0
LOC101846703,0
LOC101847462,0
LOC101847233,0.297716983445162
LOC101861332,0
LOC101848792,0
LOC101851090,0
LOC101851460,0
LOC101853205,0
LOC101852137,0
LOC101853596,0
LOC101854301,0.668078684570744
aplA,0
LOC101855069,0.790912603272623
LOC101855457,0
LOC101856305,0
LOC101856548,0
LOC101862004,0
LOC101856941,0
LOC101857847,0
LOC101862696,0.816237079152421
LOC101863226,0
LOC101863708,0
LOC101863945,0
LOC101864431,0.495570360308715
LOC101864663,0
LOC101845438,0.193010259734622
LOC101845895,0
LOC101846046,0
LOC101846258,0
LOC101858454,0
LOC101847163,0.0757295877890821
LOC101847392,0
LOC101848857,0
LOC101849018,0
LOC101849740,0
LOC101859612,0
LOC101860064,0.382340376125469
LOC101849979,0
LOC101850380,0.752063931148495
LOC101851313,0
LOC101860543,0
LOC118477783,0
TRNAK-CUU,0
LOC101852063,0
LOC101852290,0
LOC101852522,0.364771944731177
LOC101853206,0
LOC101861699,0
LOC101853898,0
LOC101855388,0
LOC118477810,0
LOC101855839,0
LOC101862386,0.67710650243248
LOC101856067,0
LOC101856306,0
LOC101862623,0.151627126813083
LOC101856549,0
LOC101856773,0
LOC101857848,0.31264430210878
LOC106011974,0.642798608473647
LOC101863227,0.179677125719777
LOC106011990,0
LOC101855537,0
LOC101863476,0
LOC101863859,0
LOC106012057,0
LOC101864112,0
