"","cluster","cluster_col"
"LOC101860628","C2","#FFFFB3"
"LOC101862718","C2","#FFFFB3"
"LOC118478201","C2","#FFFFB3"
"LOC101857947","C2","#FFFFB3"
"LOC101860482","C2","#FFFFB3"
"LOC106011756","C2","#FFFFB3"
"LOC101847373","C2","#FFFFB3"
"LOC118477444","C2","#FFFFB3"
"LOC118478330","C2","#FFFFB3"
"LOC101854329","C2","#FFFFB3"
"LOC101858357","C2","#FFFFB3"
"LOC101850376","C2","#FFFFB3"
"LOC106011886","C2","#FFFFB3"
"LOC106011533","C2","#FFFFB3"
"LOC101847646","C2","#FFFFB3"
"LOC101854868","C2","#FFFFB3"
"LOC101859690","C2","#FFFFB3"
"LOC101858170","C2","#FFFFB3"
"LOC118477483","C2","#FFFFB3"
"LOC101845347","C2","#FFFFB3"
"LOC101859099","C2","#FFFFB3"
"LOC101860759","C2","#FFFFB3"
"LOC101846209","C2","#FFFFB3"
"LOC118478051","C2","#FFFFB3"
"LOC106010996","C2","#FFFFB3"
"LOC106012764","C2","#FFFFB3"
"LOC118477145","C2","#FFFFB3"
"LOC106011928","C2","#FFFFB3"
"LOC101853912","C2","#FFFFB3"
"LOC101853359","C3","#BEBADA"
"LOC101862207","C3","#BEBADA"
"LOC106011375","C3","#BEBADA"
"LOC118478602","C3","#BEBADA"
"LOC106011349","C3","#BEBADA"
"LOC101861469","C3","#BEBADA"
"LOC118478650","C3","#BEBADA"
"LOC101855502","C3","#BEBADA"
"LOC118478260","C3","#BEBADA"
"LOC101852632","C3","#BEBADA"
"LOC101861998","C3","#BEBADA"
"LOC101861830","C3","#BEBADA"
"LOC118478411","C3","#BEBADA"
"LOC106013332","C3","#BEBADA"
"LOC101859930","C3","#BEBADA"
"LOC101849630","C3","#BEBADA"
"LOC106013733","C3","#BEBADA"
"LOC118479156","C3","#BEBADA"
"LOC101863997","C3","#BEBADA"
"LOC101851984","C3","#BEBADA"
"LOC101856776","C3","#BEBADA"
"LOC101857005","C3","#BEBADA"
"LOC106013988","C3","#BEBADA"
"LOC101849841","C3","#BEBADA"
"LOC118477974","C3","#BEBADA"
"LOC101858605","C3","#BEBADA"
"LOC101861330","C3","#BEBADA"
"LOC101854373","C3","#BEBADA"
"LOC101845880","C3","#BEBADA"
"LOC101857157","C3","#BEBADA"
"LOC101847488","C3","#BEBADA"
"LOC106012084","C3","#BEBADA"
"LOC101851324","C3","#BEBADA"
"LOC106013180","C3","#BEBADA"
"LOC101863028","C3","#BEBADA"
"LOC101848922","C3","#BEBADA"
"LOC101845188","C3","#BEBADA"
"LOC101845092","C3","#BEBADA"
"LOC101848291","C3","#BEBADA"
"LOC106012721","C3","#BEBADA"
"LOC101860714","C3","#BEBADA"
"LOC101852376","C3","#BEBADA"
"LOC101853071","C3","#BEBADA"
"LOC101847849","C3","#BEBADA"
"LOC106013279","C3","#BEBADA"
"LOC101858267","C3","#BEBADA"
"LOC101857064","C3","#BEBADA"
"LOC101853361","C3","#BEBADA"
"LOC106011128","C3","#BEBADA"
"LOC101851879","C3","#BEBADA"
"LOC101858000","C3","#BEBADA"
"LOC101859077","C3","#BEBADA"
"LOC101852269","C3","#BEBADA"
"LOC101864662","C3","#BEBADA"
"LOC106011431","C3","#BEBADA"
"LOC101848812","C3","#BEBADA"
"LOC101851224","C3","#BEBADA"
"LOC106012722","C3","#BEBADA"
"LOC101856292","C3","#BEBADA"
"LOC118478300","C3","#BEBADA"
"LOC106012710","C3","#BEBADA"
"LOC101849303","C3","#BEBADA"
"LOC101864541","C3","#BEBADA"
"LOC118478836","C3","#BEBADA"
"LOC106011384","C3","#BEBADA"
"LOC101851260","C3","#BEBADA"
"LOC101845903","C3","#BEBADA"
"LOC101848731","C3","#BEBADA"
"LOC118478512","C3","#BEBADA"
"LOC106013918","C3","#BEBADA"
"LOC106011411","C3","#BEBADA"
"LOC106013025","C3","#BEBADA"
"LOC101864628","C3","#BEBADA"
"LOC101857893","C3","#BEBADA"
"LOC118478235","C3","#BEBADA"
"LOC101856706","C3","#BEBADA"
"LOC101858397","C3","#BEBADA"
"LOC101861078","C3","#BEBADA"
"LOC118478288","C3","#BEBADA"
"LOC101861305","C3","#BEBADA"
"LOC118478557","C3","#BEBADA"
"LOC101849667","C3","#BEBADA"
"LOC101853325","C3","#BEBADA"
"LOC106012796","C3","#BEBADA"
"LOC101859584","C3","#BEBADA"
"LOC101848326","C3","#BEBADA"
"LOC101858792","C3","#BEBADA"
"LOC101851920","C3","#BEBADA"
"LOC118477400","C3","#BEBADA"
"LOC101849768","C4","#FB8072"
"LOC106012930","C4","#FB8072"
"LOC101853167","C4","#FB8072"
"LOC118477494","C4","#FB8072"
"LOC118477202","C4","#FB8072"
"LOC101862722","C4","#FB8072"
"LOC101854811","C4","#FB8072"
"LOC106014218","C4","#FB8072"
"LOC106012546","C4","#FB8072"
"LOC106012588","C4","#FB8072"
"LOC101849333","C4","#FB8072"
"LOC106013785","C4","#FB8072"
"LOC101850795","C4","#FB8072"
"LOC101857561","C4","#FB8072"
"LOC101853615","C4","#FB8072"
"LOC101861575","C4","#FB8072"
"LOC101861851","C4","#FB8072"
"LOC106011868","C4","#FB8072"
"LOC101849556","C4","#FB8072"
"LOC106012027","C4","#FB8072"
"LOC106013052","C4","#FB8072"
"LOC106012133","C4","#FB8072"
"LOC101857571","C4","#FB8072"
"LOC101846832","C4","#FB8072"
"LOC101864051","C4","#FB8072"
"LOC101863005","C4","#FB8072"
"LOC106011255","C4","#FB8072"
"LOC101857703","C4","#FB8072"
"LOC101862775","C4","#FB8072"
"LOC101854434","C4","#FB8072"
"LOC106011966","C4","#FB8072"
"LOC101857423","C4","#FB8072"
"LOC106011331","C4","#FB8072"
"LOC101853180","C4","#FB8072"
"LOC101856854","C4","#FB8072"
"LOC101860935","C4","#FB8072"
"LOC106011302","C4","#FB8072"
"LOC106011300","C4","#FB8072"
"LOC101846263","C4","#FB8072"
"LOC101850303","C4","#FB8072"
"LOC106013438","C4","#FB8072"
"LOC101850626","C4","#FB8072"
"LOC106012787","C4","#FB8072"
"LOC101845809","C4","#FB8072"
"LOC101863539","C4","#FB8072"
"LOC101852339","C4","#FB8072"
"LOC101848901","C4","#FB8072"
"LOC101862130","C4","#FB8072"
"LOC106012766","C4","#FB8072"
"LOC106011656","C4","#FB8072"
"LOC101853640","C4","#FB8072"
"LOC101860173","C4","#FB8072"
"LOC101852475","C4","#FB8072"
"LOC101850183","C4","#FB8072"
"LOC101854284","C4","#FB8072"
"LOC101856564","C4","#FB8072"
"LOC118478302","C4","#FB8072"
"LOC118478866","C4","#FB8072"
"LOC101845308","C4","#FB8072"
"LOC118478901","C4","#FB8072"
"LOC101862721","C4","#FB8072"
"LOC106012122","C4","#FB8072"
"LOC101853955","C4","#FB8072"
"LOC101855908","C4","#FB8072"
"LOC101857062","C4","#FB8072"
"LOC118477144","C4","#FB8072"
"LOC106013166","C4","#FB8072"
"LOC101863952","C4","#FB8072"
"LOC106013276","C4","#FB8072"
"LOC101856109","C4","#FB8072"
"LOC118479190","C4","#FB8072"
"LOC101863269","C4","#FB8072"
"LOC101862750","C4","#FB8072"
"LOC101862445","C4","#FB8072"
"LOC101850314","C4","#FB8072"
"LOC101849399","C4","#FB8072"
"LOC106011569","C4","#FB8072"
"LOC101849813","C4","#FB8072"
"LOC101855520","C4","#FB8072"
"LOC101857459","C4","#FB8072"
"LOC101845117","C4","#FB8072"
"LOC106012463","C4","#FB8072"
"LOC101854481","C4","#FB8072"
"LOC101862884","C4","#FB8072"
"LOC106013865","C4","#FB8072"
"LOC101856518","C4","#FB8072"
"LOC118477152","C4","#FB8072"
"LOC101852980","C4","#FB8072"
"LOC101854418","C4","#FB8072"
"LOC101848222","C4","#FB8072"
"LOC101845752","C4","#FB8072"
"LOC101855294","C4","#FB8072"
"LOC101862680","C4","#FB8072"
"LOC118478594","C4","#FB8072"
"LOC118477438","C4","#FB8072"
"LOC101850922","C4","#FB8072"
"LOC101862422","C4","#FB8072"
"LOC101862777","C4","#FB8072"
"LOC101850879","C4","#FB8072"
"LOC118477548","C4","#FB8072"
"LOC101848162","C4","#FB8072"
"LOC101861752","C4","#FB8072"
"LOC101845468","C4","#FB8072"
"LOC106013762","C4","#FB8072"
"LOC101863271","C4","#FB8072"
"LOC101863690","C4","#FB8072"
"LOC101863471","C4","#FB8072"
"LOC118478378","C4","#FB8072"
"LOC101861644","C4","#FB8072"
"LOC106012039","C4","#FB8072"
"LOC101857330","C4","#FB8072"
"LOC101864205","C4","#FB8072"
"LOC101846911","C4","#FB8072"
"TRNAT-UGU","C4","#FB8072"
"LOC101853572","C4","#FB8072"
"LOC101849982","C4","#FB8072"
"LOC101858903","C4","#FB8072"
"LOC101852317","C4","#FB8072"
"LOC101858430","C4","#FB8072"
"LOC101861478","C4","#FB8072"
"LOC106012109","C4","#FB8072"
"LOC101856929","C4","#FB8072"
"LOC106013014","C4","#FB8072"
"LOC101855844","C4","#FB8072"
"LOC106013886","C4","#FB8072"
