"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC196Pp","AC197Pp","AC198Pp","AC208Pp","AC209Pp","AC210Pp"
"38","LOC101853463",3242.53387264593,-4.61705126385657,0.360627748731595,-12.8028175316395,1.58108762988576e-37,4.92383974001791e-35,304.612321227625,319.264819515225,138.312563477777,5855.0327610396,6539.02483874734,6298.95593186801
"39","LOC101848956",460.397409108765,-2.07775024505964,0.162906225421771,-12.7542716042942,2.95120374313321e-37,8.93814911227149e-35,157.767337687614,176.680531188037,193.2307872116,773.925395317238,668.569623667163,792.210779580941
"40","LOC101852443",548.52910386064,-6.88691243235507,0.540046420172639,-12.7524452993383,3.021175971699e-37,8.93814911227149e-35,3.64078471586802,6.19931688379077,17.2890704347221,858.701675369656,1076.19013446289,1329.15364129691
"41","LOC106013217",741.284803799424,-2.92799790111922,0.231103250307805,-12.6696526215855,8.70992477801178e-37,2.51398170299979e-34,178.398451077533,156.016141575401,181.026737492972,833.177634063552,1203.06539279004,1896.02446579705
"42","LOC100533370",39785.7253168666,1.62190632384193,0.12876383564169,12.5959770906111,2.22191313048223e-36,6.26050475860159e-34,55819.2976687833,63186.5373380375,61171.7822104763,22113.8470730281,18138.6628181463,18284.2247927281
"43","LOC101848384",389.299873140392,-2.37923919973528,0.189928978317874,-12.5269941470083,5.31387320681687e-36,1.46242733789467e-33,134.709034487117,125.019557156447,115.93847232696,633.543168133664,529.096821960016,797.492184778147
"44","LOC101855936",192.051324532442,-2.81329723777266,0.22520909539149,-12.4919343638506,8.26201105527634e-36,2.22210542791228e-33,48.5437962115737,48.5613155896944,45.7651864448525,328.1662453642,281.645076995723,399.626326588608
"45","LOC101861955",272.66565986739,-2.48208782993169,0.202712124965658,-12.2443974693284,1.80008947112308e-34,4.73383528917122e-32,93.4468077072793,81.6243389699118,73.224298311764,494.072513853879,372.527354237154,521.098646124352
"46","LOC106011630",101.434221463647,-5.00410237993806,0.410109614347163,-12.2018655619764,3.03783169032535e-34,7.81515222245874e-32,8.49516433702539,5.16609740315898,5.08502071609473,213.30805948673,193.46227333572,183.088713503151
"47","LOC101861296",113.963517760995,-4.72728690472008,0.393980399091684,-11.9987870351387,3.60541477032852e-33,9.07797412597186e-31,10.9223541476041,7.23253636442257,7.11902900253262,166.817841393468,306.840163755723,184.84918190222
"48","LOC106013295",274.981182693557,-2.76953568099401,0.231580805109815,-11.9592626844902,5.80752796788605e-33,1.43179762441591e-30,50.9709860221523,87.8236558537026,71.1902900253262,586.141377136613,360.829635384296,492.931151739252
"49","LOC101861981",282.112561881507,-2.25433733709363,0.191347906126012,-11.7813535707521,4.87045980505499e-32,1.17626574149022e-29,80.0972637490965,100.222289621284,111.870455754084,508.65768031451,411.219808904298,480.607872945771
"50","LOC101845616",118.865719261584,-3.58729909017152,0.306766738878835,-11.6938984431047,1.36952678820339e-31,3.24139600231977e-29,23.0583032004975,12.3986337675815,19.32307872116,184.137726565468,194.362097862863,279.914475451932
"51","LOC101849872",131.457765054427,-3.71023883333006,0.317876980742777,-11.671933037304,1.77347126851911e-31,4.11514882189317e-29,10.9223541476041,14.4650727288451,29.4931201533494,231.539517562519,188.963150700006,313.363375034239
"52","LOC101861959",300.31744630456,-2.04527870516861,0.177244097761201,-11.5393332190062,8.35705040861843e-31,1.90187181799213e-28,112.864326191909,133.285313001502,104.751426751551,491.33779514251,454.411386207156,505.254430532733
"53","LOC101864107",4101.34962243993,-1.67429569460342,0.145952778531098,-11.4714890079785,1.83474741791448e-30,4.09667942332074e-28,1910.19838092542,2096.40232620191,1864.16859452033,7356.39333358081,5233.37944986301,6147.5556495481
"54","LOC101864023",368.113749092392,-1.8564007043065,0.162343328884657,-11.4350291882055,2.79442724720107e-30,6.12393556358842e-28,166.26250202464,163.248677939824,149.499609053185,594.345533270718,598.383310550018,536.942861715971
"55","LOC101862331",1139.16222618547,-1.5090122750526,0.13230512321687,-11.40554680244,3.92304419227003e-30,8.44096454024064e-28,583.739149444173,621.998127340341,571.556328489047,1588.871571305,1810.44694861148,1658.36123192277
"56","LOC101857249",285.002534624509,-2.02208553124459,0.178237146559199,-11.3449164233168,7.86013053591029e-30,1.66101401360647e-27,101.941972044305,113.654142869498,121.023493043054,455.786451894722,422.917527757155,494.691620138321
"57","LOC101852128",100.130973019675,-3.67565807014489,0.324718490399397,-11.3195219207379,1.05043197928139e-29,2.1808442180379e-27,14.5631388634721,17.5647311707405,11.1870455754084,153.144247836627,175.465782792862,228.860891878938
