"","AC169A","AC170A","AC174A","AC199A","AC200A","AC201A","AC202A","AC203A","AC204A","AC179A","AC183A","AC184A","AC176A","AC180A","AC205A","AC206A","AC207A","AC208A","AC209A","AC210A","AC163A","AC164A","AC172A","AC187A","AC188A","AC189A","AC190A","AC191A","AC192A","AC177A","AC181A","AC182A","AC178A","AC186A","AC193A","AC194A","AC195A","AC196A","AC197A","AC198A"
"LOC101852684",1.21412921956844,1.13428580671087,1.84326596224423,0.554844314740676,0.405888320399713,-0.158094073043263,0.40267908401151,1.55495147386287,0.273100937481544,0.0853432218958435,2.15738842623992,0.315908099963628,0.58132417174267,0.341094287734983,0.901089813995116,1.91779540008704,2.09323855454556,-0.40542445695365,1.22050102036166,0.170358174589913,-0.476011968780974,-0.823525112479922,-0.837067982861992,-0.859264521366717,-0.842504355179834,-0.854855917956038,-0.855931539063854,-0.847754857504242,-0.854976706664337,-0.86189803933957,-0.854396839673656,-0.829133329047231,-0.840644717967787,-0.866162923569031,-0.862549525775325,-0.822688878770185,-0.852899638039832,-0.858929589191363,-0.85686182081132,-0.845609496136056
"LOC101859062",0.771586459907205,-0.193965517012506,-0.0426030081367338,0.679639606555567,0.825939806848524,0.149807183527293,2.13986394894549,3.11294382554525,0.410856232520732,1.35403813447629,0.743771961519809,0.770881672421983,1.15495116942925,0.661502899284067,1.13750791674918,0.55163451953582,0.342509463045196,0.170450256264102,0.0219363813734228,1.35009951683838,0.369966065799043,-0.882917956048786,-0.836619183435535,-0.878709956478224,-0.882170577211642,-0.853609088581776,-0.862492205365752,-0.883847790802747,-0.871861486893191,-0.869292503784392,-0.866237149078694,-0.883813696729141,-0.882935120834564,-0.854052395213892,-0.866642858089226,-0.863021708613542,-0.861482662191565,-0.872398487831303,-0.867444548642271,-0.843769119611125
"LOC101858348",1.31239500752945,-0.137010496239241,0.490961200351876,-0.0456942424386718,0.686483110004157,0.787728007212902,1.50606175845652,2.61232827084576,0.284240654772676,0.279145945946962,1.39475794674123,1.46115309407972,1.36576390845892,0.668696180644828,0.333077288042676,1.19273143532379,0.661118383885796,0.745026192478128,0.536535453548263,1.13311708272664,0.234736746600462,-0.913876030322007,-0.874279154039011,-0.926732579156873,-0.931479330097668,-0.92629247301038,-0.915052297276208,-0.928946033187785,-0.926347882354741,-0.928544687750809,-0.927431242717295,-0.92383537469414,-0.919773376275058,-0.919183659463106,-0.92899297182604,-0.926877139240289,-0.919310809288092,-0.921524898403103,-0.921879277004767,-0.922993712865494
"LOC106011630",0.961958306952448,0.461235247238813,0.394456742237073,0.643428194632687,0.824699730414204,0.212871359355805,0.633387120246769,1.27468940806457,0.993967826849086,0.827224212220223,1.52689626906897,0.712260890481627,0.9466713158834,0.219309852297531,0.793241548379379,1.95961138572491,1.07659956112603,1.26740821366915,0.838607782189094,1.19797492112586,0.970108263995427,-0.949079134767022,-0.465792178786705,-1.00252030351306,-1.01835120004369,-1.0253852480071,-1.02800492103526,-1.03499031422451,-1.00751675626091,-1.01137496967258,-0.99561089029946,-0.998812135815258,-1.03220692458704,-1.02028319874642,-1.01772174524833,-0.987765930800306,-1.03138830057795,-1.03530666604477,-1.04159702880394,-1.03290030491879
"LOC101852738",0.717328976303542,0.277011576468139,0.138642200056468,1.11063604693622,0.124336564918879,0.971631922024355,0.30444517649693,1.59733441172833,1.54640009568493,0.442854506498994,1.24678195362298,1.14409198146481,1.871607602233,-0.188739217399155,0.515917507113732,1.0239372853546,0.844357361147246,0.77400930884711,1.3681800117448,1.64319146761756,0.426206943708355,-0.970183224815272,-0.393722303108962,-0.966668484708311,-0.961474663936059,-0.988704306141135,-0.958392894680971,-0.975734538272744,-0.98685026289181,-0.971526816628799,-0.973357464830835,-0.974814936237409,-0.984629363947224,-0.966899227153443,-0.968542199975241,-0.974729971121854,-0.974705995480614,-0.963931028419861,-0.971457265295587,-0.973838734925693
"LOC101861355",1.03789892401689,0.499065989971842,1.55229190075432,0.163297823714933,-0.225040488354273,-0.303876377971622,0.0192020306070477,3.6854770164349,0.617612669129145,0.173739628141113,1.59650699454627,0.159906983983657,0.144062919903672,1.28229861633292,0.759534936951673,1.30967564177188,0.243566336493588,0.648803265255993,-0.180664262579327,1.37439447235836,0.493130504424225,-0.786008199966064,-0.792637699178292,-0.799944866123638,-0.790626394067671,-0.796888579247917,-0.795570586358564,-0.792265901408118,-0.793654868888236,-0.789191831113048,-0.792329000178666,-0.784909297100251,-0.796742981271993,-0.793112596308332,-0.79761227890791,-0.782752857717998,-0.796214153813303,-0.797607835638061,-0.789566389780482,-0.78324920881865
"LOC101857686",-0.872158801438042,-0.785206345967424,-0.888226513459252,-0.930476156963886,-0.883698979401331,-0.935208528937708,-0.929752059234748,-0.927669335240272,-0.950762719276006,-0.862916037696338,-0.844849678576836,-0.950762719276006,-0.925376377075519,-0.900272927560286,-0.893256786100374,-0.950762719276006,-0.924950184283946,-0.899814286387982,-0.889714075830418,-0.929826223522419,0.390377463123226,0.634853669424978,1.7338583871595,1.79464414985662,1.6423781641476,0.844291547473167,0.384272648095457,0.442376513522998,0.533190416009531,0.523963784763093,1.00673150968127,2.14157768809001,1.13031602990745,0.593952890543537,0.510861846829396,0.358317666738149,0.289537125094826,1.50321296257279,1.17312158777269,0.443825404698498
"LOC101852753",1.03175411259722,0.155903308042373,0.0497469521521852,0.573663890838694,0.127353862580146,0.500814327704343,0.62851721640302,2.38550654081194,0.444770299837315,0.750974791359175,0.120836296752401,0.932160382399154,1.23194886555293,1.19074266379438,0.565982514941249,1.0459533227934,0.429359375424038,1.15183003142858,0.461650419549422,1.97662657614365,1.82235667015863,-0.846052139634126,-0.869750022625759,-0.937296016864641,-0.963125084334562,-0.944309170974683,-0.954612094645241,-0.935555617293706,-0.92589526499819,-0.899250593237366,-0.897043048405624,-0.926152662132543,-0.941892745635586,-0.918521142203878,-0.963125084334562,-0.938082629053606,-0.930018065563213,-0.936041960417749,-0.939908228834023,-0.911820850075182
"LOC101850319",1.89092972129552,0.488567300322866,0.2974226214502,0.483775893482278,-0.1561552963421,0.295431175859386,-0.0810985717300748,1.91803624625354,0.385256727346946,1.2680338246287,0.052156278340654,1.85054069177936,1.07410253135274,0.769989815513339,1.23660987653725,2.42591094486453,1.14501252219007,0.376545827079159,-0.130179302418763,0.542119524285041,0.551037398705549,-0.874547964292559,-0.818381989928733,-0.882241825086504,-0.88151659145194,-0.884192275083188,-0.884192275083188,-0.884192275083188,-0.882083752357221,-0.884192275083188,-0.880865539757867,-0.882098330126252,-0.881787274496549,-0.879139958025157,-0.882148975342739,-0.870954925413635,-0.884192275083188,-0.884192275083188,-0.878932698934715,-0.884192275083188
"LOC101849872",-0.724408231785684,-0.679821004089178,-0.653883189694515,1.39404383585576,0.75746446414261,0.83329167790154,1.27703718122833,-0.50358519600484,1.27983558539047,-0.671335511784921,2.75324179075846,0.877969894718569,-0.618043873375606,1.57253516439259,0.584449825462709,1.23670962269689,1.16328454494302,1.06420013423453,1.70022897896913,1.40483781769635,-0.504195767349488,-0.618812637863053,-0.682208415541395,-0.769966918766157,-0.751956139687447,-0.765475843107703,-0.738581405562699,-0.749469006239264,-0.661313261172808,-0.618760999485678,-0.639400375809923,-0.645065362776068,-0.69895153551406,-0.797493353441734,-0.784575788714885,-0.64620692043548,-0.694231257571737,-0.767615133089224,-0.753095930643958,-0.760677458883465
"LOC101856344",0.0900415678253456,-0.127254181517207,-0.0275059040531316,1.46751968152688,-0.0228529871666859,-0.120538820260766,0.690399150523178,0.24756485977859,-0.0474094519193239,0.82113450663738,0.713940141315749,0.414461365303116,0.330137448490485,0.415019269699765,2.25267392050837,3.06172803117526,2.63918724561197,0.0564341611840027,1.35904830308402,-0.176822538613296,0.482398753858029,-0.705100355946298,-0.727264513403526,-0.769400812296079,-0.771525035802869,-0.774316445905332,-0.77114858284003,-0.770749826743527,-0.772508353169808,-0.767801419253967,-0.763186597505603,-0.768903242434793,-0.76157013637383,-0.763024801686347,-0.770850144437185,-0.771246089905889,-0.771829566479497,-0.770845336460008,-0.77388430991397,-0.774148952433165
"LOC101858186",1.22225664152918,0.241115218889102,0.823205706008142,0.38116481808573,0.14540285081652,0.600153093885151,0.755915006137538,2.66470394233415,0.973900159665733,1.69404244032435,1.06562313680462,1.01676571741884,1.11688349574699,0.725454411724943,0.613261139394443,1.20681528578851,0.55080383226781,0.852176942877398,0.489068351272819,0.831074052821433,0.00550058745468855,-0.96384413541524,-0.97734301965278,-0.955503077504151,-0.947382356311574,-0.965410577848641,-0.923356400930529,-0.942375696542372,-0.965538047868707,-0.97734301965278,-0.958717649309434,-0.918726243011952,-0.923483578222412,-0.963199833150751,-0.908704169849516,-0.95616820274417,-0.949349156710501,-0.94299254260384,-0.96261964312374,-0.873229480794955
"LOC101854668",1.52950029029077,0.12439312441618,0.172728089931027,0.5194209919427,0.220466465983162,0.318503598786013,0.715834105054053,2.37964838132129,1.29005249568718,1.78941174213677,0.463667378918138,1.27737993153471,1.28700680528685,0.485149243010535,0.514882942323178,1.23411074021579,0.836477935684683,0.88325903774696,-0.213829905796631,1.19924611035988,0.576711572314,-0.92805875176699,-0.788516060589978,-0.937618353612374,-0.937618353612374,-0.937618353612374,-0.922325516933976,-0.937618353612374,-0.937618353612374,-0.937618353612374,-0.937618353612374,-0.937618353612374,-0.928082846702528,-0.937618353612374,-0.937618353612374,-0.937618353612374,-0.927706046078903,-0.929509612227817,-0.937618353612374,-0.928401999498576
"LOC101848778",-0.594786090875935,-0.580396314230377,-0.6501756207227,-0.760854497293923,-0.836855740888728,-0.812134693997728,-0.829539412160993,-0.78614515710701,-0.823749417394035,-0.865753982720862,-0.865753982720862,-0.865753982720862,-0.778240741435611,-0.648189884180941,-0.766635122556042,-0.865753982720862,-0.821262764074545,-0.865753982720862,-0.865753982720862,-0.82966724383423,-0.677049711686592,0.812412173808608,-0.398351032304126,1.03482800543529,1.20942269125291,2.101101595576,0.514908949809248,0.169269448628985,0.517965113043723,-0.0983938319781973,-0.0718733555601735,0.216911566242719,2.14733143992469,2.34935932800932,1.89734664031601,0.713703718290415,1.073195456771,0.435705156563004,1.38301537785663,0.382347867078516
"LOC101846320",1.17996489773684,1.48386327637964,1.09318804508091,1.0998428448755,0.418529171033051,0.628798752818925,0.92730415967052,0.577156556788507,1.57686622719931,0.716970247323734,0.886369758242423,1.0446299117046,0.4424654600165,0.350947949873534,0.463630745716469,1.49375974432608,1.5684335364043,0.865253795709639,0.0955808057947829,1.53738056382391,-0.360684015291712,-0.530257983632464,-0.36786302922938,-1.08871953756215,-1.10415785293786,-1.08416218186803,-0.943468141443064,-1.00670967847526,-1.00503075170749,-0.985929760640795,-1.0330765910829,-0.874025618976267,-1.10756858947284,-0.946887879590579,-1.11212619407868,-0.97107578169426,-0.948862858752501,-1.00902347944732,-1.03846297019893,-0.932843554436693
"LOC101849487",0.687804207428299,0.748905342939181,0.593311046852877,-0.144488011969241,-0.038555812173406,0.243628732857443,0.406748387947209,2.38463355158177,1.00569664104085,1.33493168861806,0.733657573496136,0.665553398397367,0.287196425832327,0.984971903306462,1.6107017553575,2.08001824615311,1.39706589695304,0.774909038649576,0.807144576023466,0.434841768502392,0.460703017464447,-0.59990936199644,-0.567377651595052,-0.9984677006041,-1.01032510396935,-0.99736831364077,-0.975152422091763,-0.934386870818116,-0.984688348852228,-0.98100210937919,-0.990100826131503,-0.972135839920708,-0.922600541643966,-0.94889583237762,-0.935793905754163,-0.814888145366033,-0.949531073948741,-0.96059268137274,-0.962363159780537,-0.953799486015825
"LOC106013887",0.617072534475956,0.24285299589183,-0.371490976670459,0.978130692691907,0.282013921598589,0.477465283132803,1.32640146877991,3.23353585001614,0.877012124470992,1.62252827249981,0.632785471561061,0.853490612836356,1.74580796424302,0.864339997682347,0.8906267448299,0.861480268383282,0.171090613994181,0.613854799615737,-0.276998079703448,0.912288423809285,-0.705995652687258,-0.827920186470337,-0.788479155519687,-0.869452779306515,-0.869452779306515,-0.869452779306515,-0.869452779306515,-0.833590961204618,-0.869452779306515,-0.869452779306515,-0.869452779306515,-0.725173790035839,-0.828024869192829,-0.869452779306515,-0.79905808713646,-0.836878048181694,-0.826387823305924,-0.869452779306515,-0.688252617339407,-0.869452779306515
