gene,Fish_kME
LOC101856767,0.726724643916476
LOC101863705,0
LOC101863941,0.439726257244012
LOC101857156,0
LOC118477147,0
LOC101857295,0
LOC101864659,0
LOC101845968,0.402517502993547
LOC101846781,-0.00598375593759029
LOC101847230,0.414763991256955
LOC101847005,0.36556676314165
LOC101847851,0
LOC101848085,0
LOC101848480,0
LOC101849094,0
LOC101849332,0
LOC101854990,0
LOC101849808,0
LOC101850378,0
LOC101850613,0
LOC101855225,0
LOC101850858,0
LOC118477454,0
LOC101851457,0.268179653937662
LOC101852808,0
LOC101853204,0
LOC106011377,0
LOC101853657,0
LOC101854059,0.434427865359774
LOC101854456,0.779180764103801
LOC106011389,0.848501951370777
LOC101855915,0.783065304096662
LOC101856142,0.855180700475811
LOC101856769,0.41008746879136
LOC101857157,0
LOC101857375,0.634855677739273
LOC101858144,0.144911061665818
LOC101858677,0
LOC101859211,0.658425876525856
LOC101859451,0
LOC101860137,-0.012190539979354
LOC101845285,0.261562798312515
LOC101848790,0
LOC101849015,0
LOC101849737,0
LOC101849974,0
LOC101850379,0
LOC101850615,0
LOC101850859,0
ApCREB2,0
LOC101851089,0.472107949423052
LOC101851312,0.384991746949446
LOC101851905,0.545918004265778
LOC101858227,0
LOC101852134,0
LOC101852369,0.721646382215791
LOC101853508,0
LOC101853745,0
LOC101853984,0
LOC101854374,0
LOC101851002,0
LOC101858904,0
LOC101859140,0
LOC101859370,0
LOC101859609,0
LOC101851458,0.0934582490122345
LOC106011492,0
LOC101860138,0
LOC101860460,0
LOC101861087,0
LOC101860860,0
LOC101861330,0
LOC101861697,0
LOC101861920,0.867621708387808
LOC101853046,0
LOC100533336,0
LOC101862385,0.492953622350368
LOC101853273,0.740126372525265
LOC101853746,0.246545465196385
LOC101853985,0
LOC101863396,0
LOC101863632,0
LOC101863942,0
LOC101864187,0
LOC101864428,0
LOC101864660,0
LOC101845139,0
LOC101845370,0.0370580197712327
LOC101854913,0
LOC101845893,-0.0388816381097367
LOC101855385,0.476290461727371
LOC101846107,0.852892935557921
LOC101846322,0
LOC101846849,0
LOC101847300,0
LOC101848086,0
LOC101856065,0.627970985753312
LOC101848328,0.531843520530933
LOC101856771,0
