gene,logP
LOC101855066,-0.265349525719503
LOC118477356,3.41384500621925
LOC101855834,-18.3386048195112
LOC101856228,0.00857365950399222
LOC118477376,-1.05809032757084
LOC101864493,-5.05665021229733
LOC101856619,-0.938415346635081
LOC101844963,-5.39308294491918
LOC101857074,-0.35311560598343
LOC101845204,-1.76416946708764
LOC101845435,NA
LOC101857450,1.09410375686597
LOC101845659,-2.24689180324689
LOC101858316,-5.70201067369155
LOC101858533,1.53359658267907
LOC101858753,-0.18187853457127
LOC101858981,-0.0235425826623074
LOC101845890,3.0220256765623
LOC101859210,0.751197699908301
LOC101859607,0.200714270574939
LOC101846104,-1.11015219224686
LOC101857451,-0.19281338135001
LOC101857688,-2.22423540122379
LOC101857914,0.00556968521791616
LOC101846780,0.0451302106492685
LOC101847004,0.305294347105123
LOC100533392,4.36623295839306
LOC101858371,-1.92311743409215
LOC101858586,-0.596029482795082
LOC101847229,0.914403667037968
LOC101858816,0.58369028894225
LOC101859287,-3.81654749091652
LOC101859527,-3.24189577915019
LOC101859747,-0.896167543325117
LOC101859986,-0.825304662317106
LOC106011300,-10.86542457308
LOC106011302,-2.95557353017999
LOC101847850,-2.68091308402639
LOC101848084,0.908797281407803
LOC101860458,-13.0099068666333
LOC106011305,-14.2874954545829
LOC101860705,-1.51316887865592
LOC101848327,0.470914956875921
LOC101860936,-0.293592274687069
LOC101848706,-0.674211803641009
LOC101848931,-0.305021091772826
LOC101849973,-1.28311934934381
LOC101850522,0.0560861399244551
LOC118477399,-2.47365509543857
LOC101850764,6.70429094019885
LOC101861405,-0.624606329027402
LOC101851543,-1.67847530246167
LOC101852061,-2.42678935783364
LOC101852288,-0.123371146124017
LOC101852520,0.351803641735037
LOC101853360,6.72494871635643
LOC118477406,0.107209965751486
LOC106011319,-2.30848628612322
LOC101853593,2.84507650211682
LOC101853828,-0.783158175119404
LOC101854058,-0.210788629890047
LOC101861626,1.51469940427448
LOC101854298,3.93022120161108
LOC101854837,0.461473884659428
LOC101855224,0.666001642176361
LOC101861857,-3.53717581934925
LOC106011276,-1.08706007465581
LOC101855913,-0.372346048636009
LOC101856141,-0.289592125899981
LOC118477418,-0.898196483236693
LOC101862313,-2.07691197319211
LOC101856542,0.264487111437061
LOC101863472,-3.18710148095924
LOC101856767,0.747301012055853
LOC101863705,0.344152449440168
LOC101863941,0.138252749996131
LOC101857156,0.418427307467249
LOC101864186,-6.63024782793643
LOC118477147,-6.42476389782613
LOC101857295,-2.4234500451863
LOC101864659,0.849246684829756
LOC106011473,-0.280146076309443
LOC101845588,-0.557690203774908
LOC101845968,4.08550839144049
LOC101846781,0.108499763613965
LOC101847230,0.0861615186773361
LOC101847005,0.398540682945373
LOC101847851,0.435968080946647
LOC101848085,-0.506616376568583
LOC101848480,-2.65472296808513
LOC106011483,-3.13753072562613
LOC101849094,0.939566758296047
LOC101849332,9.41077093960443
LOC101849572,-0.979404735229463
LOC101854990,0.715325731945441
LOC106011484,-0.286881931575099
LOC101849808,2.20386305259793
LOC101850378,-0.0795245814763188
LOC101850613,-0.00352654068008205
LOC101855225,1.21750498727264
LOC101850858,-0.321425476100722
LOC101851234,-0.5932292875296
LOC101855688,-8.70315417016995
